country,product,value,rca,eci,coi,pci,cog,density,Dpt_name,rca2,rpca
Boyaca,6411,164.13355,0,-0.313516702997745,-0.0268807065935751,-0.144815646796364,-0.062140721368137,0.192499982900378,Boyaca,0.24128838598724844,0.18718500519350936
Boyaca,6412,29319.65859,0,-0.313516702997745,-0.0268807065935751,2.47252481694708,3.1886133859193,0.0961009552809045,Boyaca,0.5554799048656569,0.43092628951756917
Boyaca,6422,425.00479,0,-0.313516702997745,-0.0268807065935751,-0.354787174774298,-0.57109681173206,0.216893737500612,Boyaca,0.29719737686833314,0.23055768848955807
Boyaca,6423,122.87493,0,-0.313516702997745,-0.0268807065935751,0.956176906167262,1.74978564597433,0.132338152242061,Boyaca,0.024647009269080252,0.01912048331361077
Boyaca,6424,11912.66654,1,-0.313516702997745,-0.0268807065935751,-0.180795307729326,-0.250523896488599,0.257371952695016,Boyaca,2.572002692573994,1.995290139628296
Boyaca,6491,202.9912,1,-0.313516702997745,-0.0268807065935751,-1.42971814351794,-0.250523896488599,0.571667617647221,Boyaca,15.109252682207835,11.721349663048366
Boyaca,6492,247.40892,0,-0.313516702997745,-0.0268807065935751,0.0271002862583395,1.01284051131958,0.171543289247927,Boyaca,0.11975550872846072,0.09290308537466421
Boyaca,6493,88.85766,0,-0.313516702997745,-0.0268807065935751,0.958627937115408,1.46835596941344,0.122337905458491,Boyaca,0.3150190152310155,0.24438323361816544
Boyaca,6495,3023.0342,1,-0.313516702997745,-0.0268807065935751,-0.540231203497876,-0.250523896488599,0.296581022778133,Boyaca,2.091049255386434,1.622179468472547
Boyaca,6499,12087.99711,0,-0.313516702997745,-0.0268807065935751,-0.706658243527908,0.207468672992522,0.158874314683115,Boyaca,0.5396241125721721,0.41862579461119637
Boyaca,6511,7895.45155,0,-0.313516702997745,-0.0268807065935751,0.954471352917221,1.70117342254832,0.137285518227721,Boyaca,0.3819245776381472,0.2962867597469178
Boyaca,6512,408.51525,0,-0.313516702997745,-0.0268807065935751,1.3463183412981,1.87397136734585,0.112355830458634,Boyaca,0.10176065002625567,0.0789431605906892
Boyaca,6515,84.19548,0,-0.313516702997745,-0.0268807065935751,-0.256874386341487,0.0894458755240966,0.183947766463793,Boyaca,0.03291211208320359,0.02553232658097934
Boyaca,6521,139.1026,0,-0.313516702997745,-0.0268807065935751,1.56508192834454,2.17232418731328,0.105800938910006,Boyaca,0.06236141643500673,0.048378300561379824
Boyaca,6522,69.42087,0,-0.313516702997745,-0.0268807065935751,0.150203104095708,0.453398143042947,0.166295169982148,Boyaca,0.042385915083878796,0.03288184676873254
Boyaca,6523,4499.69181,1,-0.313516702997745,-0.0268807065935751,-0.371606961132688,-0.250523896488599,0.279878305791836,Boyaca,1.0323627268786189,0.8008790874939674
Boyaca,6531,270.0894,0,-0.313516702997745,-0.0268807065935751,2.47252481694708,3.1886133859193,0.0961009552809045,Boyaca,0.17884703534935195,0.1387446938390205
Boyaca,6532,140.56672,0,-0.313516702997745,-0.0268807065935751,1.05716591296091,1.62330560994357,0.13402280212266,Boyaca,0.13340573333872638,0.10349256051293372
Boyaca,6614,235.82246,0,-0.313516702997745,-0.0268807065935751,-0.0850237595574976,0.845386337097319,0.168175756434702,Boyaca,0.736101956668613,0.5710479931232516
Boyaca,6619,218.2477,0,-0.313516702997745,-0.0268807065935751,0.669846882444234,0.825006742889273,0.134294759271249,Boyaca,0.17364152256550305,0.13470639778306723
Boyaca,6621,107.9814,0,-0.313516702997745,-0.0268807065935751,0.472893625544749,0.976738519558039,0.140890282693399,Boyaca,0.1918586355933253,0.14883874146289883
Boyaca,6630,178.72563,0,-0.313516702997745,-0.0268807065935751,0.911281023445833,2.14591272727516,0.0829298546628839,Boyaca,0.0800191802571161,0.06207671625272594
Boyaca,6810,9454.63829,0,-0.313516702997745,-0.0268807065935751,0.701961199106369,1.14269591992509,0.150808524638847,Boyaca,0.6376948178812444,0.49470639586972487
Boyaca,6820,5784.4013,0,-0.313516702997745,-0.0268807065935751,0.631397424241797,1.05024962498004,0.154985734521734,Boyaca,0.11214960514046607,0.08700263104158516
Boyaca,6910,18458.27496,0,-0.313516702997745,-0.0268807065935751,0.430717697446015,1.4718143275731,0.119381566529013,Boyaca,0.6479646108516445,0.5026734235517045
Boyaca,6920,21259.76835,0,-0.313516702997745,-0.0268807065935751,0.493530957863191,1.2639135722032,0.138170219947251,Boyaca,0.7983589381086822,0.6193452758395752
Boyaca,7010,1161.30272,0,-0.313516702997745,-0.0268807065935751,0.340406883345584,0.940752433820843,0.145327116749673,Boyaca,0.23635379063960954,0.18335687955871618
Boyaca,7020,8037.23507,0,-0.313516702997745,-0.0268807065935751,2.14510652121033,2.87883615393556,0.0910756702066799,Boyaca,0.33190549333640706,0.2574833067067427
Boyaca,7111,9244.432,0,-0.313516702997745,-0.0268807065935751,0.146669449548995,0.29658894535018,0.175449503785279,Boyaca,0.6418172902814941,0.49790449848247
Boyaca,7112,12466.28664,0,-0.313516702997745,-0.0268807065935751,1.06892217488602,1.75751935134447,0.125094852454443,Boyaca,0.5506719280187103,0.427196391091735
Boyaca,7120,646.9502,0,-0.313516702997745,-0.0268807065935751,1.22655021999358,1.97738832773041,0.133236956760748,Boyaca,0.24254076466644914,0.1881565667073851
Boyaca,7210,9376.72121,1,-0.313516702997745,-0.0268807065935751,-0.744948915369331,-0.250523896488599,0.303482221795832,Boyaca,21.55782065104053,16.723974318179657
Boyaca,7220,111.4086,0,-0.313516702997745,-0.0268807065935751,0.705316755952551,1.37514599897277,0.119158780139928,Boyaca,0.06485580135616181,0.05031337693279581
Boyaca,7310,22079.25812,0,-0.313516702997745,-0.0268807065935751,2.55284766228606,3.01969323733037,0.0777088747646176,Boyaca,0.3914284490291668,0.30365960617882376
Boyaca,7320,66.29624,0,-0.313516702997745,-0.0268807065935751,3.37534967557729,2.84157801539845,0.0618638015225788,Boyaca,0.013391878527082847,0.010389057232847195
Boyaca,7410,2545.33846,0,-0.313516702997745,-0.0268807065935751,1.15516511758794,1.87917943895617,0.11853935342393,Boyaca,0.33699006068017884,0.2614277765607579
Boyaca,7420,2798.05397,0,-0.313516702997745,-0.0268807065935751,0.199426233881311,-0.134291495873061,0.171853700961886,Boyaca,0.6000499895691747,0.46550255601530305
