fecha,clae3,total_fob
2007-07-01,61,253012688
2007-07-01,62,14701578
2007-07-01,72,273221824
2007-07-01,81,2730313
2007-07-01,89,5558094
2007-07-01,91,6036121
2007-07-01,99,-99
2007-07-01,101,141613504
2007-07-01,102,29356560
2007-07-01,103,81015552
2007-07-01,104,1380420608
2007-07-01,105,35363248
2007-07-01,106,35907840
2007-07-01,107,102314104
2007-07-01,108,4854610
2007-07-01,109,1116721
2007-07-01,110,53776412
2007-07-01,120,38542548
2007-07-01,131,15936561
2007-07-01,139,9270900
2007-07-01,141,3758856
2007-07-01,142,134419
2007-07-01,143,589085
2007-07-01,151,93382880
2007-07-01,152,1701488
2007-07-01,161,2350705
2007-07-01,162,10083585
2007-07-01,170,52352008
2007-07-01,181,4938844
2007-07-01,182,-99
2007-07-01,191,283316
2007-07-01,192,99301096
2007-07-01,201,61049028
2007-07-01,202,98531000
2007-07-01,203,-99
2007-07-01,204,-99
2007-07-01,210,46812936
2007-07-01,221,29916272
2007-07-01,222,36467528
2007-07-01,231,3233465
2007-07-01,239,11676079
2007-07-01,241,165379728
2007-07-01,242,47900088
2007-07-01,243,6729184
2007-07-01,251,2733409
2007-07-01,252,817739
2007-07-01,259,24368590
2007-07-01,261,38401
